run_index,timestamp_utc,ground_truth_latitude,ground_truth_longitude,estimated_latitude,estimated_longitude,identified_objects_used,latitude_error_degrees,longitude_error_degrees,latitude_error_meters,longitude_error_meters,error_distance_meters,cumulative_mean_error_meters
1,2026-09-20T20:39:08.293444Z,23.245923632389445,18.136629024377584,23.309816040112462,18.159864917631754,10,0.06389240772301719,0.023235893254167195,7104.511589905134,2373.3968202278857,7490.467040009296,7490.467040009296
2,2026-09-20T20:39:24.025469Z,5.616590712406771,-62.51087106891025,5.548505385132465,-62.51777657943743,27,-0.06808532727430627,-0.0069055105271900175,-7570.74297183726,-764.2158463800953,7609.2164468347855,7549.841743422041
3,2026-09-20T20:39:41.968306Z,58.940493454676854,142.0643403198191,61.01660274577983,-179.9536969805395,34,2.0761092911029735,37.98196269964137,230852.82033028197,2113070.048382002,2095474.6653860302,703524.7829576248
4,2026-09-20T20:40:01.460889Z,-38.96146387500383,-91.83511319201307,-38.995438997522626,-91.7862907891937,39,-0.03397512251879675,0.04882240281938266,-3777.8612562175003,4220.257324031637,5664.1685690730965,529059.6293604869
5,2026-09-20T20:40:15.642870Z,23.09217223859606,-25.951687758921707,23.331300524159456,-25.64769778640782,28,0.23912828556339605,0.3039899725138753,26589.852171860915,31066.015595202745,40891.50324949357,431426.0041382882
6,2026-09-20T20:40:29.822457Z,-29.57428650516472,-60.871886370893336,-29.63543218582897,-60.941168038841255,26,-0.06114568066425008,-0.06928166794790513,-6799.089476092901,-6698.066189934894,9544.197120377183,361112.36963530304
7,2026-09-20T20:40:44.503095Z,6.388600778188476,-169.109932939006,6.324007132439351,-169.20117327352636,31,-0.06459364574912474,-0.09124033452036429,-7182.485700778539,-10083.09450303146,12379.696448887742,311293.416322958
8,2026-09-20T20:40:55.777447Z,-50.96200456097675,-34.22501466842584,-61.8477206563384,28.072245327324016,12,-10.885716095361651,62.29725999574987,-1210436.4026972312,3832930.639378728,3849017.936203554,753508.9813080325
9,2026-09-20T20:41:08.703836Z,7.471368273999527,-30.651513312280372,3.4943358642623696,-21.05672352388224,25,-3.9770324097371574,9.594789788398145,-442225.8270637559,1062010.7445381703,1150191.610968551,797584.8290480901
10,2026-09-20T20:41:25.492930Z,55.58763349525493,-172.61568719993178,53.27954699516136,-159.2537564961166,30,-2.308086500093566,13.361930703815176,-256647.50906720036,864197.6261560515,899873.2222509127,807813.6683683724
11,2026-09-20T20:41:44.229902Z,-46.32316719918212,144.39663683892854,-38.151234252015236,-179.99241365558314,38,8.171932947166887,35.61094950548829,908677.4846044747,2931678.5321983285,3040212.1414642874,1010758.9841043646
12,2026-09-20T20:41:54.403848Z,23.358179528719404,55.36659888027381,89.99999999999999,-178.62379721159306,17,66.64182047128058,126.00960390813316,7410232.338763897,7696977.307371967,7410232.3387639,1544048.4303259924
13,2026-09-20T20:42:07.581194Z,39.509811775994834,-174.47730823538598,39.44719904118312,-174.59386780063468,22,-0.06261273481171514,-0.11655956524870703,-6962.218454403875,-10003.988912611556,12188.200678769797,1426213.0280454368
14,2026-09-20T20:42:15.198452Z,22.24247121321413,-91.49425981402504,22.164842329938526,-91.48007964641168,8,-0.07762888327560447,0.014180167613346839,-8631.937981329851,1459.8401745861045,8754.512331269994,1324965.9912087105
15,2026-09-20T20:42:29.686977Z,-3.1285080052825913,-147.28254426959896,-3.2617538879778647,-147.27454244810457,29,-0.13324588269527338,0.008001821494389105,-14816.266151990403,888.3788229996055,14842.875707245732,1237624.4501752795
16,2026-09-20T20:42:34.801286Z,9.009625896869652,-87.2796924088517,-3.2617538879778647,-147.27454244810457,0,-12.271379784847516,-59.99485003925287,-1364515.1750036406,-6662732.46905752,6787347.852005203,1584482.1627896498
17,2026-09-20T20:42:50.984479Z,-9.129015785856303,-176.31777941503591,-9.237695552502743,-176.37888574387694,32,-0.10867976664643919,-0.06110632884102074,-12084.638679998567,-6707.623655365263,13821.385331141857,1492090.3523509142
18,2026-09-20T20:42:57.711017Z,-16.818956730373518,8.62959616010798,-89.99999999995785,-179.99999999999997,29,-73.18104326958434,171.37040383989205,-8137360.73813371,11358843.821162345,8137360.738143029,1861272.040450476
19,2026-09-20T20:43:12.246379Z,15.270478832316565,74.69206706280514,43.77590039182233,-179.99999999999997,36,28.50542155950577,105.30793293719489,3169658.259281467,10189276.357214646,10018259.149115037,2290587.1514328215
20,2026-09-20T20:43:30.484279Z,-77.09681499472221,-18.922481211061466,-77.37830386972598,-20.584789421452598,34,-0.28148887500377384,-1.6623082103911315,-31300.134807304,-40832.91032482497,51446.227429275204,2178630.1052326444
21,2026-09-20T20:43:47.424918Z,19.439654855218357,-1.8671357132715798,18.718248523826247,-1.1253674927618285,32,-0.7214063313921102,0.7417682205097549,-80216.72410006591,77950.1112009109,111851.79709007629,2080212.0905591887
22,2026-09-20T20:44:06.864509Z,35.05815077464903,75.07653887362983,35.29542421344431,75.76765534571203,36,0.23727343879528462,0.6911164720822001,26383.60262154387,62814.420063961465,68130.13969475031,1988753.8200653507
23,2026-09-20T20:44:18.792755Z,-37.76377153691539,-68.81906021068804,-21.764119325638227,179.98161864719387,18,15.999652211277166,-111.1993211421181,1779080.1539714164,-10733611.322946213,10252385.063413318,2348042.1349935234
24,2026-09-20T20:44:32.723053Z,-56.95015474568293,46.84673589041839,-56.581874545944764,44.273273609374876,24,0.36828019973816595,-2.573462281043504,40950.889794528804,-156830.4749602271,162077.77116748987,2256960.286500772
25,2026-09-20T20:44:51.861324Z,6.604081597731883,172.79450410608717,6.402742069850793,172.92873656507086,34,-0.20133952788109077,0.13423245898368918,-22387.934033387977,14829.921508607065,26854.160307269252,2167756.041453032
26,2026-09-20T20:45:10.299360Z,-59.658745188963564,125.9065146123063,-59.66301154472634,123.65101022907787,35,-0.004266355762773344,-2.2555043832284127,-474.3971160811724,-126683.67758693284,126678.47253103615,2089253.0580329548
27,2026-09-20T20:45:18.668416Z,51.66721145793377,-126.61076323138344,-89.99983805795361,166.67404019445428,11,-141.66704951588738,-66.71519657416229,-15752657.17887017,-7007186.706052261,15752668.06772291,2595305.4657992492
28,2026-09-20T20:45:35.150500Z,-35.98433361409687,107.97843449537936,-39.35619092780669,106.09512850185426,28,-3.3718573137098247,-1.8833059935250844,-374933.42665388284,-165759.7865160643,409912.60303765367,2517255.720700621
29,2026-09-20T20:45:46.929454Z,43.57144461212327,-65.8329596261861,43.52305623917848,-65.6736305930923,15,-0.04838837294479248,0.15932903309379753,-5380.54158004575,12841.091655876515,13922.779025989104,2430933.8951256336
30,2026-09-20T20:46:01.157465Z,-43.3662184836636,15.108934498161346,-38.22789065158773,13.122742317545024,24,5.138327832075873,-1.9861921806163139,571355.9863633713,-167193.17828391583,595264.137184166,2369744.9031942515
31,2026-09-20T20:46:22.349041Z,28.77140750145688,-174.4308673637963,27.867056549224728,179.99987767416636,39,-0.9043509522321536,-5.569254962037348,-100559.23779439116,-545157.1836604056,554296.1971779616,2311182.041709855
32,2026-09-20T20:46:33.025875Z,17.4329905692479,101.66267869146895,19.677279422502686,102.29252068423804,15,2.244288853254787,0.6298419927690873,249553.53440686688,66394.65409376266,258233.34010297147,2247027.39478464
33,2026-09-20T20:46:49.458883Z,42.79954816428833,91.40257973849742,43.220211265158234,92.34034837700848,32,0.420663100869902,0.9377686385110451,46775.60264330137,76249.72749464144,89452.91084315756,2181646.3498167167
34,2026-09-20T20:47:01.083382Z,-1.8441103179076008,-116.07451575107564,-2.0066800517554597,-116.13816004162247,19,-0.1625697338478589,-0.06364429054684706,-18076.929629838105,-7072.926747038411,19411.37923820023,2118051.203623231
35,2026-09-20T20:47:19.570906Z,-1.7955257373889102,140.86924581782802,4.175189491239557,-179.9993635518433,34,5.9707152286284675,39.131390630328724,663913.2418628922,4350273.921098939,4398641.2385608945,2183210.918907164
36,2026-09-20T20:47:38.478561Z,-22.85353344765827,-133.93403653296076,-22.911875521365715,-133.9804043198298,34,-0.05834207370744693,-0.04636778686904108,-6487.342606191,-4750.110838659966,8040.470377532992,2122789.517559119
37,2026-09-20T20:47:56.112958Z,-62.8919158014403,-137.8739019777464,-62.8702110963174,-138.33177395455576,33,0.021704705122900236,-0.45787197680934355,2413.45309398267,-23208.154846235357,23333.256443698614,2066047.4564478912
